Date,Country,cdd_sum_avg,cdd_sum_sum,avg_temp,avg_max_temp,avg_min_temp
1/1/00,Iceland,0,0,-2.607007855,-0.184044514,-5.17876129
1/1/00,India,75.10745154,334378.3743,16.64146418,23.41053398,10.53367288
1/1/00,Indonesia,174.9971945,416493.3229,24.44923537,28.36656157,21.78106253
1/1/00,Iran,3.946377597,9822.533838,5.281901848,10.67600655,0.000955038
1/1/00,Iraq,2.219420258,1500.328094,8.733256234,14.01745108,3.892723075
1/1/00,Ireland,0,0,5.380528336,7.367659735,3.279996828
1/1/00,Israel,2.448885974,83.26212311,10.55649372,14.82374514,6.678489531
1/1/00,Italy,0,0,2.817000351,6.869597025,-0.692318005
1/1/00,Ivory Coast,220.7743898,95374.53641,26.10678178,31.15426184,21.73182686
1/1/00,Jamaica,128.6596156,1929.894234,23.01884333,26.16707382,20.25322927
1/1/00,Japan,0.001352757,0.890113831,1.223351643,4.457507826,-1.940199032
1/1/00,Jordan,1.824261757,246.2753372,7.615665302,12.74742399,2.67650678
1/1/00,Kazakhstan,0,0,-9.821218258,-6.414256739,-13.78969801
1/1/00,Kenya,215.4876164,164201.5637,25.42547825,31.62794267,19.66664255
1/1/00,Kosovo,0,0,-3.636036799,0.510871763,-7.772805577
1/1/00,Kuwait,5.652857241,130.0157166,12.02528344,17.00263347,7.511913818
1/1/00,Kyrgyzstan,0,0,-12.54556433,-8.181734762,-17.00032301
1/1/00,Laos,86.45564003,26974.15969,19.27661273,25.99010374,13.62790211
1/1/00,Latvia,0,0,-2.433111856,-0.604796773,-4.531313408
1/1/00,Lebanon,0.362607956,5.801727295,4.619518172,8.462531492,1.254521761
1/1/00,Lesotho,19.96286495,818.4774628,14.91414728,20.46442827,10.12164715
1/1/00,Liberia,179.3457133,23494.28844,24.77753511,28.82340245,21.84455714
1/1/00,Libya,3.166792031,7603.467667,10.3012793,15.81281816,4.873127644
1/1/00,Lithuania,0,0,-2.208942709,-0.401154654,-4.410054883
1/1/00,Luxembourg,0,0,1.720414311,3.590859175,-0.241081487
1/1/00,Madagascar,165.9366356,134408.6748,24.08752538,28.5574534,20.7517535
1/1/00,Malawi,141.2322488,20619.90832,23.19697739,27.12865364,20.1106496
1/1/00,Malaysia,170.5868677,74717.04806,24.41290274,28.55287819,21.63965672
1/1/00,Mali,138.4626413,232894.1628,21.87298684,28.04868622,15.90161005
1/1/00,Mauritania,75.06973541,109827.0229,18.19140168,24.43293086,12.57131462
1/1/00,Mexico,55.3642333,155241.3102,15.88785411,23.82425068,9.455670452
1/1/00,Moldova,0,0,-3.124615408,-0.850210351,-6.157962829
1/1/00,Mongolia,0,0,-21.99132614,-16.54676434,-27.33254161
1/1/00,Montenegro,0,0,-3.484982739,0.470615481,-7.550895495
1/1/00,Morocco,6.529315306,5817.619938,10.14395293,15.89475048,5.153937215
1/1/00,Mozambique,206.3470482,227807.1412,25.62531535,30.10547183,22.04543644
1/1/00,Myanmar,87.95749308,82592.086,18.75525369,25.924217,12.59571305
1/1/00,Namibia,143.8613317,165296.6701,22.98510928,28.95018235,17.79219293
1/1/00,Nepal,4.466007489,995.9196701,3.386249082,9.388235201,-2.883689685
1/1/00,Netherlands,0,0,4.52120207,6.11304768,2.770727196
1/1/00,New Caledonia,173.2800818,5718.242699,24.57587757,27.17361889,22.39478805
1/1/00,New Zealand,9.403532684,4513.695688,14.17170627,18.03728793,10.77487544
1/1/00,Nicaragua,136.6503399,23640.5088,23.18267542,27.09207602,19.98040532
1/1/00,Niger,101.1746788,161980.6607,19.85244222,26.58658735,13.6108989
1/1/00,Nigeria,234.9499284,281939.9141,26.23780897,32.86939612,20.08572766
1/1/00,North Korea,0,0,-10.80049036,-5.584894373,-17.0137111
1/1/00,North Macedonia,0,0,-4.197870171,0.559291804,-9.033497311
1/1/00,Northern Cyprus,0.182449341,0.912246704,10.90095501,13.36482334,8.420006371
1/1/00,Norway,0,0,-6.994237388,-4.596403111,-9.660552029
1/1/00,Oman,82.80375852,35936.8312,20.41075741,26.46037037,14.23084748
1/1/00,Pakistan,17.41995036,22854.97488,8.534586011,14.67026881,2.526194295
1/1/00,Palestine,2.34114329,21.07028961,10.64054288,14.69838206,7.00064569
1/1/00,Panama,145.9036886,14444.46517,23.48200705,27.08879864,20.98325474
1/1/00,Papua New Guinea,167.9933345,99452.05404,23.90181559,28.24988144,20.80494102
1/1/00,Paraguay,302.3780793,171750.749,28.75460066,34.6792024,23.62958627
1/1/00,Peru,103.8462672,179757.8885,18.69415996,23.1792693,15.65427083
1/1/00,Philippines,170.4187656,66974.57488,24.37597153,27.37047308,21.92587052
1/1/00,Poland,0,0,-1.040414178,0.92553118,-3.270019536
1/1/00,Portugal,0,0,6.928003645,11.46846732,3.131409778
